ID,Education,Income,Kidhome,Teenhome,Recency,NumWebVisitsMonth,Complain,Living_Status,Total_Promos_accep,Age,Total_Consumption,Total_Num_Purchases,Seniority
5524,Graduate,58138.0,0,0,58,7,0,Alone,0,57,1617,25,33
2174,Graduate,46344.0,1,1,38,5,0,Alone,0,60,27,6,5
4141,Graduate,71613.0,0,0,26,4,0,Partner,0,49,776,21,17
6182,Graduate,26646.0,1,0,26,6,0,Partner,0,30,53,8,3
5324,Postgraduate,58293.0,1,0,94,5,0,Partner,0,33,422,19,12
7446,Postgraduate,62513.0,0,1,16,6,0,Partner,0,47,716,22,16
965,Graduate,55635.0,0,1,34,6,0,Alone,0,43,590,21,26
6177,Postgraduate,33454.0,1,0,32,8,0,Partner,0,29,169,10,17
4855,Postgraduate,30351.0,1,0,19,9,0,Partner,0,40,46,6,19
5899,Postgraduate,5648.0,1,1,68,20,0,Partner,1,64,49,2,10
387,Undergraduate,7500.0,0,0,59,8,0,Partner,0,38,61,6,26
2125,Graduate,63033.0,0,0,82,2,0,Alone,0,55,1102,16,14
8180,Postgraduate,59354.0,1,1,53,6,0,Alone,0,62,310,15,14
2569,Graduate,17323.0,0,0,38,8,0,Partner,0,27,46,5,27
2114,Postgraduate,82800.0,0,0,23,3,0,Alone,2,68,1315,26,26
9736,Graduate,41850.0,1,1,51,8,0,Partner,0,34,96,9,25
4939,Graduate,37760.0,0,0,20,7,0,Partner,0,68,317,13,29
6565,Postgraduate,76995.0,0,1,91,5,0,Partner,1,65,1782,26,22
2278,Undergraduate,33812.0,1,0,86,6,0,Alone,0,29,133,8,34
9360,Graduate,37040.0,0,0,41,8,0,Partner,0,32,316,12,29
5376,Graduate,2447.0,1,0,42,1,0,Partner,0,35,1730,43,19
1993,Postgraduate,58607.0,0,1,63,8,0,Partner,1,65,972,17,25
4047,Postgraduate,65324.0,0,1,0,4,0,Partner,0,60,544,20,2
1409,Graduate,40689.0,0,1,69,8,0,Partner,0,63,444,20,22
7892,Graduate,18589.0,0,0,89,7,0,Alone,0,45,75,8,23
2404,Graduate,53359.0,1,1,4,7,0,Partner,0,38,257,14,20
9422,Graduate,38360.0,1,0,26,3,0,Partner,0,25,131,9,20
1966,Postgraduate,84618.0,0,0,96,2,0,Partner,1,49,1672,26,14
6864,Postgraduate,10979.0,0,0,34,5,0,Alone,0,25,30,8,8
